Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
"Gambia, The",,879.98,802.01,1464.73,846.20,777.98,1155.71,0.01315,,0.02930,0.04623,0.06921,0.06103,958.06,,958.06,,,,1,,,,,,,,,,,,,,,,,,,
Georgia,,,2955.48,5051.30,,1977.94,3820.34,#DIV/0!,,#DIV/0!,0.06926,0.06136,0.07232,0.00,,189.78,Georgia,,,,,,,,,,,,,,,,,,,,,,
Germany,,16237.19,30950.09,32488.16,26165.11,28290.53,31611.50,0.01794,,0.01146,0.00993,0.00540,0.00686,0.00,Germany,13591.78,,,,,,1,,,,,,,,,,,,,,,,,
Ghana,,938.89,887.05,1239.17,843.90,844.00,1045.10,0.00714,,0.02042,0.02781,0.03784,0.04350,603.04,,603.04,,,,1,,,,,,,,,,,,,,,,,,,
Greece,,12296.65,21538.91,27284.76,17825.59,18350.69,25724.34,0.02065,,0.02266,0.02874,0.02662,0.01483,6181.45,,6181.45,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,2836.08,11417.17,12025.85,8991.47,8307.43,12647.04,0.03774,,0.01542,0.02677,0.00579,-0.01251,0.00,Grenada,1958.16,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,4048.16,5452.01,6284.59,4749.94,5055.45,5629.12,0.01134,,0.01484,0.01567,0.01592,0.02792,2986.78,,2986.78,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,801.05,756.36,826.54,860.96,831.59,870.05,0.00080,,-0.00215,-0.00043,0.00991,-0.01274,977.34,,977.34,,,,1,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,300.03,453.41,818.34,425.82,586.96,793.62,0.02606,,0.03498,0.02402,0.06781,0.00770,344.06,,344.06,,,,1,,,,,,,,,,,,,,,,,,,
Guyana,,2018.88,3307.17,4338.50,1436.85,2141.80,3760.63,0.01981,,0.05989,0.05171,0.03062,0.03638,0.00,Guyana,1659.29,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,1662.91,1516.56,1444.44,1796.18,1529.62,1358.82,-0.00360,,-0.01140,-0.00408,-0.00540,0.01539,1887.87,,1887.87,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,2356.11,3005.84,3605.30,3112.74,2959.45,3310.18,0.01097,,0.00776,0.01420,0.02041,0.02158,2235.43,,2235.43,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,,8803.67,33086.70,,27102.68,28531.39,35376.91,-1.00000,,-1.00000,-1.00000,-1.00000,-1.00000,5907.12,,5907.12,,,,,1,,,,,,,,,,,,,,,,,,
Hungary,,7287.58,13273.03,16512.55,11900.13,10861.06,16644.50,0.02119,,0.01739,0.03038,0.02456,-0.00199,0.00,Hungary,5908.79,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,14148.79,33481.98,37113.41,27987.54,26988.23,39901.34,0.02504,,0.01496,0.02302,0.01151,-0.01794,10500.92,,10500.92,,,,,,1,,,,,,,,,,,,,,,,,
India,,886.23,1859.07,3238.55,1407.84,1566.53,2556.66,0.03379,,0.04482,0.05325,0.06361,0.06089,711.38,,711.38,,,,,1,,,,,,,,,,,,,,,,,,
